Drug Name,ATC 1st Level
teniposide,L - Antineoplastic and immunomodulating agents
hydrocodone,N - Nervous system
hydrocodone,R - Respiratory system
Will take,G - Genito urinary system and sex hormones
CGB-500 Ointment with,
xanomeline,
tenecteplase Injection,B - Blood and blood forming organs
hydrochlorothiazide 50 MG,C - Cardiovascular system
Wilate,B - Blood and blood forming organs
CG2001,
wormwood extract,
tenecteplase 25 MG,B - Blood and blood forming organs
hydrochlorothiazide 25 MG,C - Cardiovascular system
West Indian lemongrass oil,
CG101 low dose + artificial tear,
witch hazel,
tenecteplase,B - Blood and blood forming organs
hydrochlorothiazide 12.5 MG,C - Cardiovascular system
Wellbutrin,N - Nervous system
CG101 high dose + artificial tear,
wine grape allergenic extract,V - Various
tenapanor,A - Alimentary tract and metabolism
hydrochlorothiazide / spironolactone,C - Cardiovascular system
Welireg,L - Antineoplastic and immunomodulating agents
CERLIPONASE ALFA,A - Alimentary tract and metabolism
wild thyme extract,
temsirolimus,L - Antineoplastic and immunomodulating agents
hydrochlorothiazide / losartan,C - Cardiovascular system
Weifuchun,
CERAMIDE NS,
whole wheat allergenic extract,V - Various
temsavir,
hydrochlorothiazide,C - Cardiovascular system
Wegovy®,A - Alimentary tract and metabolism
CELLULOSE SULFATE,
white tea extract,
temozolomide,L - Antineoplastic and immunomodulating agents
hydrochloric acid,B - Blood and blood forming organs
hydrochloric acid,A - Alimentary tract and metabolism
Wegovy ®,A - Alimentary tract and metabolism
CDR132L,
white rice extract,
temazepam,N - Nervous system
hydrobromic acid,
Wegovy,A - Alimentary tract and metabolism
CDR-CHOP,
white pepper allergenic extract,
telotristat ethyl,A - Alimentary tract and metabolism
hydralazine / isosorbide dinitrate,C - Cardiovascular system
WTX-330,
CDH17 CAR-T,
white mulberry extract,
telotristat,A - Alimentary tract and metabolism
hydralazine,C - Cardiovascular system
WIN378,
CD83-positive MSC,
wheat germ preparation,
telmisartan 40 MG,C - Cardiovascular system
hydantoin,
WHEY,
CD7 CAR-γδT cell（QH106）,L - Antineoplastic and immunomodulating agents
wheat germ oil,
telmisartan 20 MG,C - Cardiovascular system
hyaluronidase-zzxf,L - Antineoplastic and immunomodulating agents
hyaluronidase-zzxf,B - Blood and blood forming organs
WGc-0201 injection,
CD7 CAR-T combined with autologous hematopoietic stem cell transplantation,L - Antineoplastic and immunomodulating agents
watermelon allergenic extract,V - Various
telmisartan,C - Cardiovascular system
"hyaluronidase, bovine",B - Blood and blood forming organs
WELLBUTRIN SR (Bupropion HCI) Sustained-Release Tablets,
CD7 CAR-T cells injection,L - Antineoplastic and immunomodulating agents
water-based contrast medium,D - Dermatologicals
telisotuzumab,
hyaluronidase Injection,J - Antiinfectives for systemic use
hyaluronidase Injection,B - Blood and blood forming organs
WBC100 QD,
CD7 CAR-T cells infusion,L - Antineoplastic and immunomodulating agents
warm Bupivacaine,M - Musculo-skeletal system
warm Bupivacaine,N - Nervous system
telavancin,J - Antiinfectives for systemic use
hyaluronic acid loaded on chitosan nano-particles,
Vyzulta,S - Sensory organs
CD5 CAR-T cells infusion,
warfarin sodium,B - Blood and blood forming organs
tegaserod maleate,A - Alimentary tract and metabolism
hyaluronic acid 20 MG,S - Sensory organs
hyaluronic acid 20 MG,D - Dermatologicals
hyaluronic acid 20 MG,R - Respiratory system
hyaluronic acid 20 MG,A - Alimentary tract and metabolism
hyaluronic acid 20 MG,M - Musculo-skeletal system
Vyxeos,L - Antineoplastic and immunomodulating agents
CD34+ cell enriched stem cell graft,
warfarin,B - Blood and blood forming organs
tegaserod,A - Alimentary tract and metabolism
hyaluronic acid,S - Sensory organs
hyaluronic acid,D - Dermatologicals
hyaluronic acid,R - Respiratory system
hyaluronic acid,A - Alimentary tract and metabolism
hyaluronic acid,M - Musculo-skeletal system
Vyvgart Hytrulo,L - Antineoplastic and immunomodulating agents
Vyvgart Hytrulo,B - Blood and blood forming organs
CD30 CAR T-cell,L - Antineoplastic and immunomodulating agents
wIPV+bOPV,
tegafur,L - Antineoplastic and immunomodulating agents
hyaluronate Injection,S - Sensory organs
Vyvgart,L - Antineoplastic and immunomodulating agents
CD22/CD19 CAR-T cell immunotherapy,L - Antineoplastic and immunomodulating agents
vvDD-hIL-2-RG-1,
teferrol,
hyaluronate,S - Sensory organs
hyaluronate,D - Dermatologicals
hyaluronate,R - Respiratory system
hyaluronate,A - Alimentary tract and metabolism
hyaluronate,M - Musculo-skeletal system
Vyvanse,N - Nervous system
CD19/BCMA Lupus Nephritis Targeted CAR T-cells injection,L - Antineoplastic and immunomodulating agents
vutrisiran,N - Nervous system
teduglutide,A - Alimentary tract and metabolism
human umbilical cord mesenchymal stem cells,
Vyndamax,N - Nervous system
CD19-targetd CAR-T,
voxilaprevir,J - Antiinfectives for systemic use
tedizolid,J - Antiinfectives for systemic use
human umbilical cord mesenchymal stem cell suspension,
Vyloy,L - Antineoplastic and immunomodulating agents
CD19-BCMA CAR-T cells infusion,L - Antineoplastic and immunomodulating agents
vosoritide Injection,M - Musculo-skeletal system
gentamicin Injectable Solution,S - Sensory organs
gentamicin Injectable Solution,D - Dermatologicals
gentamicin Injectable Solution,J - Antiinfectives for systemic use
tecovirimat,J - Antiinfectives for systemic use
human retinal progenitor cells,
Vyleesi,G - Genito urinary system and sex hormones
CD19 Universal CAR-T cells,L - Antineoplastic and immunomodulating agents
vosoritide,M - Musculo-skeletal system
gentamicin 40 MG/ML,S - Sensory organs
gentamicin 40 MG/ML,D - Dermatologicals
gentamicin 40 MG/ML,J - Antiinfectives for systemic use
teclistamab-cqyv,L - Antineoplastic and immunomodulating agents
human chorionic gonadotropin,G - Genito urinary system and sex hormones
Vykat,V - Various
Vykat,C - Cardiovascular system
CD19 CAR-T cells,L - Antineoplastic and immunomodulating agents
vortioxetine hydrobromide,N - Nervous system
gentamicin,S - Sensory organs
gentamicin,D - Dermatologicals
gentamicin,J - Antiinfectives for systemic use
teclistamab,L - Antineoplastic and immunomodulating agents
human allogeneic induced pluripotent stem cell (iPSC)-derived dopaminergic neural progenitor cell injection,
Vyjuvek,D - Dermatologicals
CD19 B-cell Acute Lymphoblastic Leukemia Targeted CAR T-cells injection,L - Antineoplastic and immunomodulating agents
vortioxetine 20 MG,N - Nervous system
genistein,
tebentafusp-tebn,L - Antineoplastic and immunomodulating agents
house fly allergenic extract,
Vyalev,N - Nervous system
CD146/HER2 CAR-T cells,L - Antineoplastic and immunomodulating agents
vortioxetine 10 MG,N - Nervous system
gemtuzumab ozogamicin,L - Antineoplastic and immunomodulating agents
tebentafusp,L - Antineoplastic and immunomodulating agents
horse chestnut preparation,
Vunakizumab (IL-17A inhibitor),
CD-001,"P - Antiparasitic products, insecticides and repellents"
vortioxetine,N - Nervous system
gemifloxacin,J - Antiinfectives for systemic use
tea tree oil,
hops extract,
Vuity,S - Sensory organs
Vuity,N - Nervous system
CCB use,
vorinostat,L - Antineoplastic and immunomodulating agents
gemfibrozil 600 MG,C - Cardiovascular system
tazobactam,J - Antiinfectives for systemic use
honey preparation,
Vtol,D - Dermatologicals
Vtol,N - Nervous system
CC312,
voriconazole Oral Tablet,J - Antiinfectives for systemic use
gemfibrozil,C - Cardiovascular system
tazemetostat hydrobromide,L - Antineoplastic and immunomodulating agents
histrelin acetate,L - Antineoplastic and immunomodulating agents
Vtama,D - Dermatologicals
CC-97540,M - Musculo-skeletal system
CC-97540,V - Various
CC-97540,A - Alimentary tract and metabolism
CC-97540,B - Blood and blood forming organs
voriconazole Injection,J - Antiinfectives for systemic use
gemcitabine hydrochloride,L - Antineoplastic and immunomodulating agents
tazemetostat,L - Antineoplastic and immunomodulating agents
histrelin,L - Antineoplastic and immunomodulating agents
Vraylar,N - Nervous system
CBZ,N - Nervous system
voriconazole 200 MG,J - Antiinfectives for systemic use
gemcitabine 1000 MG,L - Antineoplastic and immunomodulating agents
tazarotene,D - Dermatologicals
histidine,B - Blood and blood forming organs
Voydeya,L - Antineoplastic and immunomodulating agents
CBD: GT4 Transdermal Delivery System,
voriconazole,J - Antiinfectives for systemic use
gemcitabine,L - Antineoplastic and immunomodulating agents
taxifolin,
histamine dihydrochloride,L - Antineoplastic and immunomodulating agents
histamine dihydrochloride,M - Musculo-skeletal system
Voxzogo,M - Musculo-skeletal system
CBD,N - Nervous system
voretigene neparvovec-rzyl,S - Sensory organs
gellan gum (low acyl),
tavaborole,D - Dermatologicals
histamine,L - Antineoplastic and immunomodulating agents
histamine,M - Musculo-skeletal system
histamine,V - Various
Vowst,
CBA-1205,D - Dermatologicals
voretigene neparvovec,S - Sensory organs
gelatin,
tauroursodeoxycholic acid (TUDCA),A - Alimentary tract and metabolism
higher dose recFSH,
Vortioxetine (tablet),N - Nervous system
CB-010,
vorasidenib,L - Antineoplastic and immunomodulating agents
gefitinib 250 MG,L - Antineoplastic and immunomodulating agents
taurolidine,B - Blood and blood forming organs
high-density polyethylene,
Vorolanib Tablets,
"CARVONE, (+)-",
vorapaxar,B - Blood and blood forming organs
gefitinib,L - Antineoplastic and immunomodulating agents
taurine,B - Blood and blood forming organs
high fructose corn syrup,
Vorolanib + Toripalimab,L - Antineoplastic and immunomodulating agents
CART19,
vonoprazan fumarate,A - Alimentary tract and metabolism
gatifloxacin,S - Sensory organs
gatifloxacin,J - Antiinfectives for systemic use
tasimelteon,N - Nervous system
hiSCs,
Voranigo,L - Antineoplastic and immunomodulating agents
CART-EGFR-IL13Ra2 cells,
vonoprazan 20 MG,J - Antiinfectives for systemic use
vonoprazan 20 MG,A - Alimentary tract and metabolism
garlic allergenic extract,V - Various
tartrazine,
hexylresorcinol,R - Respiratory system
Voquezna,J - Antiinfectives for systemic use
Voquezna,A - Alimentary tract and metabolism
CART therapy,
vonoprazan 10 MG,A - Alimentary tract and metabolism
garadacimab,B - Blood and blood forming organs
tartaric acid,
hexyl acetate,
Vonvendi,
CARMINIC ACID,
vonoprazan,J - Antiinfectives for systemic use
vonoprazan,A - Alimentary tract and metabolism
ganirelix,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
tarlatamab-dlle,L - Antineoplastic and immunomodulating agents
hexanediol,
Vonsetamig,
CARAMEL,
vonicog alfa,
ganciclovir Ophthalmic Gel,S - Sensory organs
ganciclovir Ophthalmic Gel,J - Antiinfectives for systemic use
tarlatamab,L - Antineoplastic and immunomodulating agents
hexamethyldisiloxane,
Vonoprazan Test,J - Antiinfectives for systemic use
Vonoprazan Test,A - Alimentary tract and metabolism
CAR-T cells targeting CD19 and CD22,L - Antineoplastic and immunomodulating agents
von Willebrand factor,B - Blood and blood forming organs
ganciclovir Injection,S - Sensory organs
ganciclovir Injection,J - Antiinfectives for systemic use
tapinarof,D - Dermatologicals
hexadecane,
Vonoprazan Reference,J - Antiinfectives for systemic use
Vonoprazan Reference,A - Alimentary tract and metabolism
CAR-T cells chimenric antigen receptor T cells,L - Antineoplastic and immunomodulating agents
von Willebrand Factor (VWF) and Factor VIII (FVIII) Concentrates,B - Blood and blood forming organs
ganciclovir,S - Sensory organs
ganciclovir,J - Antiinfectives for systemic use
tapentadol hydrochloride,N - Nervous system
hexachlorophene,D - Dermatologicals
Vonoprazan,J - Antiinfectives for systemic use
Vonoprazan,A - Alimentary tract and metabolism
CAR-T cell,L - Antineoplastic and immunomodulating agents
von Willebrand Factor (VWF) Concentrates,B - Blood and blood forming organs
ganaxolone,N - Nervous system
tapentadol 100 MG,N - Nervous system
hetastarch,B - Blood and blood forming organs
Vonafexor low dose,
CAR-T Therapy,
volanesorsen,C - Cardiovascular system
ganagliflozin,A - Alimentary tract and metabolism
tapentadol,N - Nervous system
hesperidin,A - Alimentary tract and metabolism
Vonafexor high dose,
"CAR-T Cells infusion（CAR2219,CAR2019, CAR19 etc）",L - Antineoplastic and immunomodulating agents
voclosporin,L - Antineoplastic and immunomodulating agents
gamma-terpinene,
tannic acid,
hesperetin,
Von Willebrand Factor Concentrates and Factor VIII Concentrates,B - Blood and blood forming organs
CAR-T,
vnacicizumab,
gamma-cyclodextrin,
liver extract,
angiotensin II,C - Cardiovascular system
Rimiducid,
nalmefene Nasal Spray,N - Nervous system
butylparaben,
Glucophage (Metformin Hydrochloride Tablets),A - Alimentary tract and metabolism
lithium citrate,
andexanet alfa,V - Various
Rimegepant for acute migraine treatment,N - Nervous system
nalmefene Injection,N - Nervous system
butylated hydroxytoluene,
Glucophage,A - Alimentary tract and metabolism
lithium carbonate 600 MG,N - Nervous system
anastrozole 1 MG,L - Antineoplastic and immunomodulating agents
Rilzabrutinib dose,
nalmefene,N - Nervous system
butylated hydroxyanisole,
Glucocorticoids,
lithium carbonate 300 MG,N - Nervous system
anastrozole,L - Antineoplastic and immunomodulating agents
Rilzabrutinib,
naldemedine tosylate,A - Alimentary tract and metabolism
butyl alcohol,
Glucocorticoid,
lithium carbonate,N - Nervous system
anakinra,L - Antineoplastic and immunomodulating agents
Rilvegostomig,
naldemedine,A - Alimentary tract and metabolism
butyl acetate,
Glucagon-like peptide-1 receptor agonists (GLP,
lithium,N - Nervous system
anagrelide,L - Antineoplastic and immunomodulating agents
Rifampicin Capsule,J - Antiinfectives for systemic use
nalbuphine hydrochloride Injection,N - Nervous system
butorphanol tartrate Injection,N - Nervous system
Glucagon-Like Peptide-1 receptor agonists,
lisocabtagene maraleucel,L - Antineoplastic and immunomodulating agents
anacaulase,
Rifampicin (RMP) Ethambutol (E) Isoniazid (H) Pyrazinamid (Z),
Glycerol,S - Sensory organs
Glycerol,D - Dermatologicals
Glycerol,B - Blood and blood forming organs
Glycerol,R - Respiratory system
Glycerol,C - Cardiovascular system
Glycerol,A - Alimentary tract and metabolism
nalbuphine hydrochloride,N - Nervous system
butorphanol tartrate,N - Nervous system
lisinopril 40 MG,C - Cardiovascular system
amylopectin,
Rifampicin (R),
Glucagon for Injection (Fresenius Kabi USA),"H - Systemic hormonal preparations, excluding sex hormones and insulins"
nalbuphine Injection,N - Nervous system
butorphanol,N - Nervous system
lisinopril 10 MG,C - Cardiovascular system
amylase / lipase / protease,A - Alimentary tract and metabolism
Ricinoleic Acid,
Glucagon,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
nalbuphine,N - Nervous system
butane,
lisinopril,C - Cardiovascular system
amylase,A - Alimentary tract and metabolism
RiaSTAP,B - Blood and blood forming organs
"Glofitamab, Polatuzumab Vedotin, Zanubrutinib, Lenalidomide and Prednisone as Induction Therapy",L - Antineoplastic and immunomodulating agents
naftifine,D - Dermatologicals
butamben,N - Nervous system
lisdexamfetamine,N - Nervous system
amyl nitrite,V - Various
Rhopressa,S - Sensory organs
Glofitamab + Obinutuzumab,L - Antineoplastic and immunomodulating agents
nafcillin,J - Antiinfectives for systemic use
butalbital,N - Nervous system
liraglutide Pen Injector,A - Alimentary tract and metabolism
amyl acetate,
Rhodotorula mucilaginosa allergenic extract,V - Various
Gliflozin,
nafarelin acetate,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
busulfan Injection,L - Antineoplastic and immunomodulating agents
liraglutide,A - Alimentary tract and metabolism
amprenavir,J - Antiinfectives for systemic use
Rhodomyrtus tomentosa fruit extract,
Gleevec,L - Antineoplastic and immunomodulating agents
nafarelin,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
busulfan,L - Antineoplastic and immunomodulating agents
liquid petroleum,
ampicillin sodium,S - Sensory organs
ampicillin sodium,J - Antiinfectives for systemic use
RhoGAM,J - Antiinfectives for systemic use
GlaxoSmithKline,
nadolol 80 MG,C - Cardiovascular system
buspirone,N - Nervous system
liquefied petroleum gas,
ampicillin / sulbactam,S - Sensory organs
ampicillin / sulbactam,J - Antiinfectives for systemic use
Rhizopus stolonifer allergenic extract,V - Various
Gla-100 (insulin glargine),A - Alimentary tract and metabolism
nadolol,C - Cardiovascular system
buserelin acetate,L - Antineoplastic and immunomodulating agents
lipase,A - Alimentary tract and metabolism
ampicillin,S - Sensory organs
ampicillin,J - Antiinfectives for systemic use
Rhizopus arrhizus allergenic extract,V - Various
Givlaari,A - Alimentary tract and metabolism
nadofaragene firadenovec-vncg,L - Antineoplastic and immunomodulating agents
buserelin,L - Antineoplastic and immunomodulating agents
liothyronine,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
amphotericin B liposomal,J - Antiinfectives for systemic use
amphotericin B liposomal,G - Genito urinary system and sex hormones
amphotericin B liposomal,A - Alimentary tract and metabolism
Rhinovirus-A16,
Givinostat Hydrochloride - Cohort,
nadofaragene firadenovec,L - Antineoplastic and immunomodulating agents
burosumab,M - Musculo-skeletal system
linzagolix,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
amphotericin B lipid complex,J - Antiinfectives for systemic use
amphotericin B lipid complex,G - Genito urinary system and sex hormones
amphotericin B lipid complex,A - Alimentary tract and metabolism
Rhenium-186 Nanoliposome,
nabumetone,M - Musculo-skeletal system
burdock root extract,
linvoseltamab,
amphotericin B Injection,J - Antiinfectives for systemic use
amphotericin B Injection,G - Genito urinary system and sex hormones
amphotericin B Injection,A - Alimentary tract and metabolism
RhPDGF-BB,D - Dermatologicals
RhPDGF-BB,A - Alimentary tract and metabolism
nabilone,A - Alimentary tract and metabolism
bupropion hydrochloride,N - Nervous system
bupropion hydrochloride,A - Alimentary tract and metabolism
linseed oil,A - Alimentary tract and metabolism
amphotericin B,J - Antiinfectives for systemic use
amphotericin B,D - Dermatologicals
amphotericin B,G - Genito urinary system and sex hormones
amphotericin B,A - Alimentary tract and metabolism
Rezzayo,J - Antiinfectives for systemic use
"nab-paclitaxel, carboplatin, and bemotuzumab",
bupropion / naltrexone,N - Nervous system
bupropion / naltrexone,A - Alimentary tract and metabolism
linolenic acid,
amphetamine,N - Nervous system
Rezurock,L - Antineoplastic and immunomodulating agents
nab-paclitaxel + gemcitabine,
bupropion / dextromethorphan,N - Nervous system
bupropion / dextromethorphan,R - Respiratory system
"linoleic acids, conjugated",
amoxicillin 500 MG,J - Antiinfectives for systemic use
amoxicillin 500 MG,A - Alimentary tract and metabolism
Rezlidhia,L - Antineoplastic and immunomodulating agents
nab-paclitaxel,
bupropion,N - Nervous system
bupropion,A - Alimentary tract and metabolism
linoleic acid,A - Alimentary tract and metabolism
amoxicillin 125 MG,J - Antiinfectives for systemic use
Rezivertinib,
nOPV2,
buprenorphine hydrochloride,N - Nervous system
linoleate,A - Alimentary tract and metabolism
amoxicillin 1000 MG,J - Antiinfectives for systemic use
Rezdiffra,
nL-TARD-001,V - Various
buprenorphine Transdermal System,N - Nervous system
linezolid 600 MG,J - Antiinfectives for systemic use
amoxicillin / clavulanate,J - Antiinfectives for systemic use
Rezatapopt,
nL-CHCHD-001,
buprenorphine Injection,N - Nervous system
linezolid,J - Antiinfectives for systemic use
amoxicillin,J - Antiinfectives for systemic use
amoxicillin,A - Alimentary tract and metabolism
Rexulti,N - Nervous system
n-dodecane,
buprenorphine Buccal Film [Belbuca],N - Nervous system
lindane,"P - Antiparasitic products, insecticides and repellents"
amoxapine,N - Nervous system
Revuforj,
myrrh oil,
buprenorphine Buccal Film,N - Nervous system
lincomycin hydrochloride,J - Antiinfectives for systemic use
amobarbital,N - Nervous system
Revlimid,L - Antineoplastic and immunomodulating agents
myrrh extract,
buprenorphine / naloxone,V - Various
buprenorphine / naloxone,N - Nervous system
buprenorphine / naloxone,A - Alimentary tract and metabolism
lincomycin,J - Antiinfectives for systemic use
ammonium sulfate,
Revcovi,L - Antineoplastic and immunomodulating agents
myristyl alcohol,
buprenorphine,N - Nervous system
linalyl acetate,
ammonium methacrylate,
Revascularization/Conservative management,
myristic acid,
bupivacaine liposome,N - Nervous system
linagliptin 5 MG,A - Alimentary tract and metabolism
ammonium lactate,D - Dermatologicals
Retisert,S - Sensory organs
Retisert,D - Dermatologicals
Retisert,C - Cardiovascular system
myrcene,
bupivacaine hydrochloride 100 MG,N - Nervous system
linagliptin / metformin,A - Alimentary tract and metabolism
ammonium ion,
Retin-A,L - Antineoplastic and immunomodulating agents
Retin-A,D - Dermatologicals
myeloablative regimen,B - Blood and blood forming organs
myeloablative regimen,A - Alimentary tract and metabolism
myeloablative regimen,N - Nervous system
myeloablative regimen,C - Cardiovascular system
bupivacaine hydrochloride,N - Nervous system
linagliptin,A - Alimentary tract and metabolism
ammonium chloride,G - Genito urinary system and sex hormones
ammonium chloride,B - Blood and blood forming organs
Retevmo,L - Antineoplastic and immunomodulating agents
mycophenolic acid,L - Antineoplastic and immunomodulating agents
bupivacaine Injection,N - Nervous system
linaclotide,A - Alimentary tract and metabolism
ammonium carbonate,
Retatrutide,
mycophenolate mofetil 500 MG,L - Antineoplastic and immunomodulating agents
bupivacaine / meloxicam,M - Musculo-skeletal system
bupivacaine / meloxicam,N - Nervous system
"limonene, (+/-)-",
ammonium acetate,
Restasis,L - Antineoplastic and immunomodulating agents
Restasis,S - Sensory organs
mycophenolate mofetil,L - Antineoplastic and immunomodulating agents
bupivacaine / epinephrine,S - Sensory organs
bupivacaine / epinephrine,B - Blood and blood forming organs
bupivacaine / epinephrine,C - Cardiovascular system
bupivacaine / epinephrine,R - Respiratory system
bupivacaine / epinephrine,A - Alimentary tract and metabolism
bupivacaine / epinephrine,N - Nervous system
limertinib,L - Antineoplastic and immunomodulating agents
ammonia,V - Various
Respiratory Syncytial Virus IN006 Bivalent mRNA Vaccine (IN006),
muskmelon extract,
bupivacaine,N - Nervous system
lime allergenic extract,
amlodipine besylate,C - Cardiovascular system
Resomelagon,
mupirocin Nasal Ointment,D - Dermatologicals
mupirocin Nasal Ointment,R - Respiratory system
bumetanide,C - Cardiovascular system
lima bean allergenic extract,V - Various
amlodipine 5 MG,C - Cardiovascular system
Resinol,S - Sensory organs
Resinol,D - Dermatologicals
mupirocin,D - Dermatologicals
mupirocin,R - Respiratory system
budesonide Rectal Foam,D - Dermatologicals
budesonide Rectal Foam,A - Alimentary tract and metabolism
budesonide Rectal Foam,R - Respiratory system
lifitegrast Ophthalmic Solution,S - Sensory organs
amlodipine 2.5 MG,C - Cardiovascular system
Rescue medication,
mung bean allergenic extract,
budesonide Oral Suspension,D - Dermatologicals
budesonide Oral Suspension,A - Alimentary tract and metabolism
budesonide Oral Suspension,R - Respiratory system
lifitegrast,S - Sensory organs
amlodipine 10 MG,C - Cardiovascular system
Rescue Medications,
mulberry pollen extract,V - Various
budesonide Inhalation Suspension,D - Dermatologicals
budesonide Inhalation Suspension,A - Alimentary tract and metabolism
budesonide Inhalation Suspension,R - Respiratory system
lifileucel,L - Antineoplastic and immunomodulating agents
amlodipine / valsartan,C - Cardiovascular system
Rescue Medication,
mugwort sage pollen extract,V - Various
budesonide 9 MG,D - Dermatologicals
budesonide 9 MG,A - Alimentary tract and metabolism
budesonide 9 MG,R - Respiratory system
lidocaine spray,
amlodipine / telmisartan,C - Cardiovascular system
Replicative Adenovirus Vector (RGDCRAdCOX2F),
moxifloxacin hydrochloride,S - Sensory organs
moxifloxacin hydrochloride,J - Antiinfectives for systemic use
budesonide 0.25 MG/ML,D - Dermatologicals
budesonide 0.25 MG/ML,A - Alimentary tract and metabolism
budesonide 0.25 MG/ML,R - Respiratory system
lidocaine hydrochloride Injection,C - Cardiovascular system
amlodipine / perindopril,C - Cardiovascular system
Repatha,C - Cardiovascular system
moxifloxacin Injection,S - Sensory organs
moxifloxacin Injection,J - Antiinfectives for systemic use
budesonide / formoterol Metered Dose Inhaler,D - Dermatologicals
budesonide / formoterol Metered Dose Inhaler,A - Alimentary tract and metabolism
budesonide / formoterol Metered Dose Inhaler,R - Respiratory system
lidocaine hydrochloride 20 MG/ML,S - Sensory organs
lidocaine hydrochloride 20 MG/ML,D - Dermatologicals
lidocaine hydrochloride 20 MG/ML,R - Respiratory system
lidocaine hydrochloride 20 MG/ML,C - Cardiovascular system
lidocaine hydrochloride 20 MG/ML,N - Nervous system
amlodipine / benazepril,C - Cardiovascular system
Renvela,V - Various
moxifloxacin 400 MG,S - Sensory organs
moxifloxacin 400 MG,J - Antiinfectives for systemic use
budesonide / formoterol,D - Dermatologicals
budesonide / formoterol,A - Alimentary tract and metabolism
budesonide / formoterol,R - Respiratory system
lidocaine hydrochloride,S - Sensory organs
lidocaine hydrochloride,D - Dermatologicals
lidocaine hydrochloride,R - Respiratory system
lidocaine hydrochloride,C - Cardiovascular system
lidocaine hydrochloride,N - Nervous system
lidocaine hydrochloride,M - Musculo-skeletal system
amlodipine,C - Cardiovascular system
Renvastinib,L - Antineoplastic and immunomodulating agents
moxifloxacin,S - Sensory organs
moxifloxacin,J - Antiinfectives for systemic use
budesonide,D - Dermatologicals
budesonide,A - Alimentary tract and metabolism
budesonide,R - Respiratory system
lidocaine and triamcinolone,S - Sensory organs
lidocaine and triamcinolone,D - Dermatologicals
lidocaine and triamcinolone,R - Respiratory system
lidocaine and triamcinolone,C - Cardiovascular system
lidocaine and triamcinolone,A - Alimentary tract and metabolism
lidocaine and triamcinolone,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
lidocaine and triamcinolone,N - Nervous system
amlexanox,A - Alimentary tract and metabolism
amlexanox,R - Respiratory system
Renova,L - Antineoplastic and immunomodulating agents
Renova,D - Dermatologicals
moxidectin,"P - Antiparasitic products, insecticides and repellents"
buckwheat allergenic extract,V - Various
lidocaine Injection,S - Sensory organs
lidocaine Injection,D - Dermatologicals
lidocaine Injection,R - Respiratory system
lidocaine Injection,C - Cardiovascular system
lidocaine Injection,N - Nervous system
amivantamab-vmjw,L - Antineoplastic and immunomodulating agents
Renin-angiotensin system inhibitors (RASi),
motixafortide,L - Antineoplastic and immunomodulating agents
brown rice preparation,
lidocaine 50 MG,S - Sensory organs
lidocaine 50 MG,D - Dermatologicals
lidocaine 50 MG,R - Respiratory system
lidocaine 50 MG,C - Cardiovascular system
lidocaine 50 MG,N - Nervous system
amivantamab,L - Antineoplastic and immunomodulating agents
Renflexis,L - Antineoplastic and immunomodulating agents
mosunetuzumab-axgb,L - Antineoplastic and immunomodulating agents
bronopol,
lidocaine 20 MG/ML,S - Sensory organs
lidocaine 20 MG/ML,D - Dermatologicals
lidocaine 20 MG/ML,R - Respiratory system
lidocaine 20 MG/ML,C - Cardiovascular system
lidocaine 20 MG/ML,N - Nervous system
lidocaine 20 MG/ML,M - Musculo-skeletal system
amitriptyline hydrochloride,N - Nervous system
Renal Autologous Cell Therapy (REACT),G - Genito urinary system and sex hormones
mosunetuzumab,L - Antineoplastic and immunomodulating agents
brompheniramine,N - Nervous system
brompheniramine,R - Respiratory system
lidocaine / tetracaine,S - Sensory organs
lidocaine / tetracaine,D - Dermatologicals
lidocaine / tetracaine,R - Respiratory system
lidocaine / tetracaine,C - Cardiovascular system
lidocaine / tetracaine,N - Nervous system
amitriptyline,N - Nervous system
Remternetug,
morphine sulfate,N - Nervous system
bromocriptine mesylate,G - Genito urinary system and sex hormones
bromocriptine mesylate,N - Nervous system
lidocaine / prilocaine,S - Sensory organs
lidocaine / prilocaine,D - Dermatologicals
lidocaine / prilocaine,R - Respiratory system
lidocaine / prilocaine,C - Cardiovascular system
lidocaine / prilocaine,N - Nervous system
amisulpride,N - Nervous system
Remimazolam and Propofol,N - Nervous system
morphine Injection,N - Nervous system
bromocriptine 5 MG,G - Genito urinary system and sex hormones
bromocriptine 5 MG,N - Nervous system
lidocaine / phenylephrine,S - Sensory organs
lidocaine / phenylephrine,D - Dermatologicals
lidocaine / phenylephrine,R - Respiratory system
lidocaine / phenylephrine,C - Cardiovascular system
lidocaine / phenylephrine,N - Nervous system
amiodarone hydrochloride Injection,C - Cardiovascular system
Remimazolam Tosilate,N - Nervous system
morphine,N - Nervous system
bromocriptine,G - Genito urinary system and sex hormones
bromocriptine,N - Nervous system
lidocaine,S - Sensory organs
lidocaine,D - Dermatologicals
lidocaine,R - Respiratory system
lidocaine,C - Cardiovascular system
lidocaine,N - Nervous system
lidocaine,M - Musculo-skeletal system
