NCT ID,Disease,Drug Name
NCT06753786,Intracerebral hemorrhage,Venous thromboembolism prophylaxis with unfractionated heparin or low molecular weight heparin starting on the
NCT06753786,Pulmonary embolism,Venous thromboembolism prophylaxis with unfractionated heparin or low molecular weight heparin starting within the first
NCT06753786,Pulmonary embolism,Venous thromboembolism prophylaxis with unfractionated heparin or low molecular weight heparin starting on the
NCT06792435,Biliary tract cancer,XNW27011
NCT06792435,Biliary tract cancer,XNW27011
NCT06792435,Gastric carcinoma,XNW27011
NCT06792435,Gastric carcinoma,XNW27011
NCT06792435,Gastroesophageal junction adenocarcinoma,XNW27011
NCT06792435,Gastroesophageal junction adenocarcinoma,XNW27011
NCT06792435,Ovarian cancer,XNW27011
NCT06792435,Ovarian cancer,XNW27011
NCT07022535,Fallopian tube carcinoma,Carboplatin plus Paclitaxel
NCT07022535,Ovarian cancer,Carboplatin plus Paclitaxel
NCT07022535,Peritoneum cancer,Carboplatin plus Paclitaxel
NCT06879158,Type 2 diabetes mellitus,BR3409
NCT06879158,Type 2 diabetes mellitus,BR3409-1
NCT06879158,Type 2 diabetes mellitus,BR3409-2
NCT06576635,Non-small cell lung carcinoma,docetaxel
NCT06576635,Non-small cell lung carcinoma,paclitaxel
NCT06576635,Non-small cell lung carcinoma,gemcitabine
NCT06576635,Non-small cell lung carcinoma,pemetrexed
NCT06576635,Non-small cell lung carcinoma,vinorelbine
NCT06772558,Benign prostatic hyperplasia,Desflurane Inhalation
NCT06772558,Cholecystitis,Desflurane Inhalation
NCT06772558,Coronary artery disorder,Desflurane Inhalation
NCT06602258,Alzheimer disease,E2814
NCT06602258,Alzheimer disease,lecanemab
NCT07055958,Parkinson disease,metformin
NCT06655896,Scleroderma,rapcabtagene autoleucel
NCT06655896,Scleroderma,rituximab
NCT06961435,Colitis,vedolizumab
NCT06851858,Diabetes mellitus,AZD6234
NCT06851858,Obesity disorder,AZD6234
NCT06979596,Childhood malignant neoplasm,MK-5684
NCT06979596,Childhood malignant neoplasm,Fludrocortisone/ Fludrocortisone acetate
NCT06979596,Childhood malignant neoplasm,Dexamethasone/Dexamethasone acetate
NCT06979596,Childhood malignant neoplasm,Rescue Medications
NCT06979596,Childhood malignant neoplasm,fulvestrant
NCT06979596,Childhood malignant neoplasm,exemestane
NCT06979596,Childhood malignant neoplasm,Megestrol acetate/Medroxyprogesterone acetate
NCT06979596,Childhood malignant neoplasm,tamoxifen
NCT06979596,Childhood malignant neoplasm,letrozole
NCT06982196,Psoriasis,Sulodexide
NCT06945458,Atopic eczema,KT-621
NCT06845358,Tuberculosis,BCG TICE strain
NCT06973096,Adult glioblastoma,CART-EGFR-IL13Ra2 cells
NCT06612996,Hernia,tramadol
NCT06612996,Hernia,Magnesium sulphate
NCT07122596,Sepsis,Meropenem Infusion
NCT06615596,Atrial fibrillation,Anticoagulant drugs
NCT06902558,Autosomal dominant polycystic kidney disease,ABBV-CLS-628
NCT06663358,Fabry disease,Pegunigalsidase-alfa
NCT06902896,Dilated cardiomyopathy,FAP immunosuppressive CAR-DC
NCT06902896,Heart failure,FAP immunosuppressive CAR-DC
NCT07123896,Cardiac rhythm disease,Drug Treatment
NCT07038096,Neuroendocrine carcinoma,ZG006
NCT07038096,Neuroendocrine carcinoma,ZG005
NCT07038096,Small cell lung carcinoma,ZG006
NCT07038096,Small cell lung carcinoma,ZG005
NCT06785116,"Hypertension, pregnancy-induced",Dapagliflozin
NCT06785116,Preeclampsia,Dapagliflozin
NCT06574516,Pain,ibuprofen
NCT06574516,Pain,paracetamol
NCT06958796,Cytomegalovirus,Cytomegalovirus Immune Globulin Intravenous (Human) monthly for three months
NCT07106996,Polycystic ovary syndrome,red yeast rice，RYR
NCT07092696,Cervical carcinoma,toripalimab
NCT07036796,Diabetic neuropathy,melatonin
NCT06916416,Classic Hodgkin lymphoma,pembrolizumab
NCT06588296,Obesity disorder,ixekizumab
NCT06588296,Obesity disorder,tirzepatide
NCT06588296,Psoriatic arthritis,ixekizumab
NCT06588296,Psoriatic arthritis,tirzepatide
NCT06730516,Glaucoma,Latanoprost (Xalatan)
NCT06730516,Glaucoma,Brimonidine
NCT06729996,Diabetes mellitus,Pioglitazone (PIO)
NCT06729996,Diabetes mellitus,Empagliflozin (EMPA)
NCT06729996,Pancreatitis,Pioglitazone (PIO)
NCT06729996,Pancreatitis,Empagliflozin (EMPA)
NCT07045896,Arthritic joint disease,Fucoidan
NCT07045896,Arthritic joint disease,corn starch
NCT06579196,Non-small cell lung carcinoma,Trabedersen
NCT06579196,Non-small cell lung carcinoma,pembrolizumab
NCT06726096,Rheumatoid arthritis,Recombinant Humanized Anti-interleukin-6 Receptor Monoclonal Antibody Injection
NCT06740916,Myeloproliferative neoplasm,81-mg aspirin once daily
NCT06740916,Myeloproliferative neoplasm,81-mg aspirin twice daily
NCT07119996,Childhood bladder carcinoma,"Tislelizumab, Cisplatin, Gemcitabine and Vitamin B3"
NCT06618196,Diphtheria,LR20062
NCT06618196,Diphtheria,DTaP-HepB-IPV-Hib vaccine
NCT06618196,Pertussis,LR20062
NCT06618196,Pertussis,DTaP-HepB-IPV-Hib vaccine
NCT06618196,Poliomyelitis,LR20062
NCT06618196,Poliomyelitis,DTaP-HepB-IPV-Hib vaccine
NCT06618196,Tetanus,LR20062
NCT06618196,Tetanus,DTaP-HepB-IPV-Hib vaccine
NCT06623396,Diabetes mellitus,M28z1XXPD1DNR CAR
NCT06623396,Esophageal adenocarcinoma,M28z1XXPD1DNR CAR
NCT06623396,Gastroesophageal junction adenocarcinoma,M28z1XXPD1DNR CAR
NCT06947616,Cardiogenic shock,Mild therapeutic hypothermia
NCT06704516,Menopause,Menopausal hormone therapy
NCT06840496,Rett syndrome,Bionetide
NCT07022496,Migraine disorder,Caffeine (200 mg)
NCT07022496,Migraine disorder,triptans
NCT07022496,Migraine disorder,NSAID (Nonsteroidal anti-inflammatory drugs)
NCT07022496,Migraine disorder,Paracetamol (acetaminophen)
NCT06708416,Postherpetic neuralgia,ONO-1110
NCT06722235,Autoimmune thrombocytopenic purpura,Mezagitamab
NCT06665035,Dengue disease,TDV
NCT06713135,Duchenne muscular dystrophy,vamorolone
NCT06823258,Non-small cell lung carcinoma,HS-10365
NCT06863558,Intracerebral hemorrhage,PPA Intervention
NCT06620835,Non-small cell lung carcinoma,Blood samples for Hematology
NCT06620835,Non-small cell lung carcinoma,Blood samples for Chemistry
NCT06620835,Non-small cell lung carcinoma,Blood sample for liver function tests
NCT06620835,Non-small cell lung carcinoma,Pregnancy test
NCT07069335,Ovarian cancer,olaparib
NCT06897735,Lip and oral cavity carcinoma,Afatinib Dimaleat
NCT06897735,Lip and oral cavity carcinoma,inhalation of afatinib dimaleate
NCT06897735,Melanoma,Afatinib Dimaleat
NCT06897735,Melanoma,inhalation of afatinib dimaleate
NCT06834386,Delirium,suvorexant
NCT06834386,Insomnia,suvorexant
NCT06604286,Pain,"In this group, patients received"
NCT06604286,Pain,8 mg IM dexamethasone injection into the pterygoid cavity after impacted tooth surgery.
NCT06912763,Lymphedema,Pravastatin (drug)
NCT06912763,Lymphedema,pentoxifylline
NCT06912763,Lymphedema,ketoprofen
NCT06912763,Lymphedema,Pirfenidoneone
NCT06912763,Lymphedema,tocopherol
NCT06933563,Myasthenia gravis,UCAR T-cell group
NCT07053735,Childhood bladder carcinoma,Nimotuzumab and Radiotherapy
NCT06870435,Nasopharyngeal carcinoma,"Blood, nasopharyngeal swab and saliva"
NCT07112235,"COPD, severe early onset",Rhinovirus-A16
NCT07099235,Depressive disorder,ketamine hydrochloride
NCT06636435,Hepatocellular carcinoma,CBA-1205
NCT06636435,Hepatocellular carcinoma,CBA-1205
NCT06636435,Hepatocellular carcinoma,CBA-1205
NCT06812858,Hodgkins lymphoma,"Nivolumab, Pembrolizumab"
NCT06680258,Hepatocellular carcinoma,TPST-1120
NCT06680258,Hepatocellular carcinoma,atezolizumab
NCT06680258,Hepatocellular carcinoma,bevacizumab
NCT06811363,Osteoporosis,Anti-resorptive agents
NCT06811363,Osteoporosis,Anabolic Agents
NCT06685835,Hidradenitis suppurativa,Brensocatib
NCT06825858,Age-related macular degeneration,KH658
NCT06840158,Cerebral palsy,Miotox (Botulinum toxin type A is a hemagglutinin complex)
NCT06840158,Cerebral palsy,BOTOX®
NCT06966635,Nephrolithiasis,Sodium Bicarbonate Oral Capsule
NCT06966635,Nephrolithiasis,Potassium Citrate Tablets
NCT06966635,Nephrolithiasis,uric-acid-lowering drug
NCT06723535,Kidney failure,BMS-986278
NCT06716658,Lymphoma,JAK1 Inhibitor
NCT06716658,Mycosis fungoides,JAK1 Inhibitor
NCT06716658,Primary cutaneous T-cell non-Hodgkin lymphoma,JAK1 Inhibitor
NCT06602063,Fallopian tube carcinoma,Iparomlimab/Tuvonralimab
NCT06602063,Ovarian carcinoma,Iparomlimab/Tuvonralimab
NCT06602063,Primary peritoneal carcinoma,Iparomlimab/Tuvonralimab
NCT06627335,Atopic eczema,Ruxolitinib Cream
NCT06627335,Atopic eczema,TCS
NCT06944496,Gastric carcinoma,Disitamab Vedotin+Tislelizumab+Oxaliplatin+Capecitabine
NCT06944496,Gastric carcinoma,Tislelizumab+Oxaliplatin+Capecitabine
NCT06716216,Type 2 diabetes mellitus,Drug
NCT06716216,Type 2 diabetes mellitus,Drug:10 mg BGM0504 Administered SC
NCT06716216,Type 2 diabetes mellitus,Drug: Semaglutide Administered SC
NCT06893796,Preeclampsia,Telpegfilgrastim Injection
NCT06893796,Preeclampsia,Telpegfilgrastim Injection
NCT06893796,Preeclampsia,Telpegfilgrastim Injection
NCT06777316,Cholangiocarcinoma,CGT4859
NCT06777316,Intrahepatic cholangiocarcinoma,CGT4859
NCT07008716,Small cell lung carcinoma,Etoposide + carboplatin
NCT06617416,Non-small cell lung carcinoma,Cadonilimab (AK104)
NCT06617416,Non-small cell lung carcinoma,Sugemalimab
NCT07082816,Ocular hypertension,Netarsudil
NCT07082816,Ocular hypertension,Netarsudil
NCT06956196,Atopic eczema,Stapokibatrt
NCT06584916,Obesity disorder,Orforglipron
NCT07113496,Precursor B-cell acute lymphoblastic leukemia,Allogeneic CAR-T
NCT06820216,Hiatus hernia,Rectointercostal facial plane block using bupivacaine
NCT06925516,Intrahepatic cholangiocarcinoma,Apatinib and Adebrelimab in Combination With chemotherapy
NCT07083063,Pancreatitis,Nitroglycerin (NTG)
NCT07031063,HIV infectious disease,DTG/3TC
NCT07031063,HIV infectious disease,Bictegravir (BIC) plus Emtricitabine (FTC) plus Tenofovir Alafenamide (TAF)
NCT06752616,Agitation,Sublingual Dexmedetomidine
NCT06752616,Agitation,Buccal midazolam
NCT06752616,Agitation,Oral lorazepam
NCT07130916,Non-small cell lung carcinoma,Aumolertinib
NCT07036016,Non-small cell lung carcinoma,EGFR-TKI
NCT07036016,Non-small cell lung carcinoma,PD-1/PD-L1 inhibitor
NCT07036016,Non-small cell lung carcinoma,EGFR-TKI combined with PD-1/PD-L1
NCT06698796,Dermatomyositis,Dazukibart
NCT06648096,Fanconi anemia,afatinib
NCT06713616,Depressive disorder,Racemic ketamine
NCT06713616,Depressive disorder,Spravato (Esketamine)
NCT07016516,Migraine disorder,PRT-064040 nasal spray
NCT07016516,Migraine disorder,PRT-064040 nasal spray
NCT06659016,Urinary tract infection,Fosfomycin
NCT06659016,Urinary tract infection,Combination of dietary supplement and fosfomycin
NCT06679816,Pituitary gland adenoma,Hormone replacement therapy
NCT07002216,Hodgkins lymphoma,brentuximab vedotin
NCT07002216,Hodgkins lymphoma,etoposide
NCT07002216,Hodgkins lymphoma,cyclophosphamide
NCT07002216,Hodgkins lymphoma,doxorubicin
NCT07002216,Hodgkins lymphoma,dacarbazine
NCT07002216,Hodgkins lymphoma,dexamethasone
NCT06837116,Dengue disease,Vaccine
NCT06668389,Congenital heart disease,SGLT2 inhibitor (Dapagliflozin
NCT06821529,Parkinson disease,ICA07 therapy
NCT06841640,"COPD, severe early onset",AERO-001
NCT06841640,"COPD, severe early onset",AERO-002
NCT06841640,"COPD, severe early onset",AERO-007
NCT06709040,Maturity-onset diabetes of the young type 1,somapacitan
NCT07030140,Cholangiocarcinoma,tislelizumab
NCT07030140,Cholangiocarcinoma,gemcitabine
NCT07030140,Cholangiocarcinoma,Cisplatin or Oxaliplatin
NCT07059429,Ketamine,ketamine
NCT07059429,Ketamine,Standard Analgesia
NCT06659029,Systemic lupus erythematosus,anifrolumab
NCT06924229,Dry eye syndrome,Hormonal treatment
NCT07055529,Vitiligo-associated multiple autoimmune disease susceptibility 1,Group A recieving PUVA therapy
NCT07055529,Vitiligo-associated multiple autoimmune disease susceptibility 1,Group B receiving Tablet Tofacitinib
NCT06652529,Mesothelioma,AROG4-01
NCT06652529,Mesothelioma,AROG4-01
NCT06652529,Non-small cell lung carcinoma,AROG4-01
NCT06652529,Non-small cell lung carcinoma,AROG4-01
NCT06652529,Ovarian cancer,AROG4-01
NCT06652529,Ovarian cancer,AROG4-01
NCT06968429,Migraine disorder,NBP Softgel Capsules
NCT07115329,Endogenous depression,Zelquistinel
NCT07126938,Poisoning,Alcoholic beverage
NCT06978738,Anti-neutrophil cytoplasmic antibody-associated vasculitis,universal allogeneic anti-CD19/BCMA CAR T-cells
NCT06978738,Autoimmune hemolytic anemia,universal allogeneic anti-CD19/BCMA CAR T-cells
NCT06978738,Inclusion body myositis,universal allogeneic anti-CD19/BCMA CAR T-cells
NCT06978738,Myasthenia gravis,universal allogeneic anti-CD19/BCMA CAR T-cells
NCT06978738,Systemic lupus erythematosus,universal allogeneic anti-CD19/BCMA CAR T-cells
NCT06978738,Systemic sclerosis,universal allogeneic anti-CD19/BCMA CAR T-cells
NCT06862908,Obesity disorder,IBI362
NCT06748508,Gastric carcinoma,"Sintilimab, oxalipaltin"
NCT06917690,Epidermolysis bullosa,Oleogel-S10
NCT06917690,Rheumatic disorder,Oleogel-S10
NCT06930703,Sickle cell disease,cannabidiol
NCT07021703,Rabies,"Freeze-dried Human Rabies Vaccine（Human Diploid Cell）, Essen"
NCT07021703,Rabies,Freeze-dried Human Rabies Vaccine（Human Diploid Cell），Zagreb
NCT06607003,Malaria,P. vivax challenge agent derived from PvHMB-CCE001
NCT06607003,Malaria,P. vivax challenge agent derived from PvHMB-CCE002
NCT06957938,Laryngeal carcinoma,Neoadjuvant Chemotherapy (NACT)
NCT06957938,Laryngeal carcinoma,Neoadjuvant and maintenance Tislelizumab
NCT07100938,Rheumatoid arthritis,BGB-45035
NCT06738108,Pulmonary embolism,ECOS
NCT06738108,Pulmonary embolism,Control group
NCT06709638,Coronary artery disorder,Zhilong Huoxue Tongyu capsule
NCT07090538,Neuroblastoma,eliglustat
NCT06591338,Ischemic stroke,ticagrelor
NCT06591338,Ischemic stroke,clopidogrel
NCT06671938,Multiple system atrophy,exidavnemab
NCT06671938,Parkinson disease,exidavnemab
NCT06700408,Hypercholesterolemia,Dachaihu Decoction combined Erzhiwan with variation
NCT06667908,Carcinoma,JNJ-90301900
NCT06667908,Carcinoma,durvalumab
NCT06667908,Carcinoma,Concurrent Chemo/Radiation Therapy (cCRT): Carboplatin
NCT06667908,Carcinoma,Concurrent Chemo/Radiation Therapy (cCRT): Paclitaxel
NCT06614608,Osteoarthritis,5% ASKC200
NCT06614608,Osteoarthritis,1% ASKC200
NCT06614608,Pain,5% ASKC200
NCT06614608,Pain,1% ASKC200
NCT06692738,Non-small cell lung carcinoma,Rilvegostomig
NCT06692738,Non-small cell lung carcinoma,pembrolizumab
NCT06692738,Non-small cell lung carcinoma,carboplatin
NCT06692738,Non-small cell lung carcinoma,paclitaxel
NCT06692738,Non-small cell lung carcinoma,Nab-paclitaxel
NCT06756308,T-cell non-Hodgkin lymphoma,enasidenib
NCT06756308,T-cell non-Hodgkin lymphoma,rituximab
NCT06658938,Precursor B-cell acute lymphoblastic leukemia,blinatumomab
NCT06643208,Intrahepatic cholangiocarcinoma,"TACE-HAIC, Envafolimab and Lenvatinib"
NCT07086638,Radiodermatitis,Photo-responsive nanozyme
NCT06635538,Infertility disorder,Corifollitropin alfa (CFA)
NCT06635538,Infertility disorder,Clomiphene Citrate (CC)
NCT06868238,Ductal breast carcinoma in situ,Magtrace
NCT07098338,Non-small cell lung carcinoma,Rilvegostomig
NCT07098338,Non-small cell lung carcinoma,ramucirumab
NCT07098338,Non-small cell lung carcinoma,Dato-DXd
NCT07074938,Traumatic brain injury,Jianmin Daopeng Angong Niuhuang Wan
NCT07074938,Traumatic brain injury,Tongrentang Angong Niuhuang Wan
NCT06727838,Diabetes mellitus,HRS-7535 tablets
NCT06727838,Diabetes mellitus,Metformin Hydrochloride Extended-release Tablets
NCT06727838,Diabetes mellitus,Metformin Hydrochloride Tablets
NCT06676579,IgA glomerulonephritis,avacopan
NCT06676579,IgA glomerulonephritis,prednisone
NCT06676579,IgA glomerulonephritis,Methylprednisolone (drug)
NCT06676579,IgA glomerulonephritis,prednisolone
NCT07035379,Diffuse large B-cell lymphoma,TRS005
NCT07035379,Diffuse large B-cell lymphoma,cyclophosphamide
NCT07035379,Diffuse large B-cell lymphoma,doxorubicin
NCT07035379,Diffuse large B-cell lymphoma,prednisolone
NCT06958484,Hepatocellular carcinoma,Iparomlimab and Tuvonralimab Injection (QL1706) plus bevacizumab
NCT06648902,Renal carcinoma,meldonium
NCT06691802,Asthma,Shu Fei Tie
NCT06922084,Cataract,Clareon PanOptix PRO
NCT06922084,Cataract,Mix-and-Match PanOptix/Vivity
NCT06587802,Adrenal cortex carcinoma,Triprolizumab
NCT06697184,B-cell chronic lymphocytic leukemia,Sonrotoclax
NCT06697184,B-cell chronic lymphocytic leukemia,zanubrutinib
NCT06794502,Tuberculosis,Herbal medicine
NCT06730802,Coronary artery disorder,PCSK9 inhibitor
NCT06730802,Coronary artery disorder,Statin
NCT07014202,Non-small cell lung carcinoma,Immunotherapy (with or without chemotherapy) maintenance therapy
NCT06644079,Skin squamous cell carcinoma,tranexamic acid
NCT06916884,Allergic rhinitis,Desloratadine / Betamethasone in fixed dose
NCT06916884,Allergic rhinitis,desloratadine
NCT06825702,Macular retinal edema,KIO-104
NCT06922279,Gastroesophageal cancer,Standard systemic therapy (chemotherapy)
NCT06736379,Squamous cell carcinoma,VRP-encapsulated saRNA encoding IL-12 (1 x
NCT06736379,Squamous cell carcinoma,Pembrolizumab (KEYTRUDA®)
NCT06736379,Squamous cell carcinoma,VRP-encapsulated saRNA encoding IL-12 (3 x
NCT06755684,EGFR,Befotertinib combined Bevacizumab
NCT06755684,EGFR,Befotertinib combined platinum-based double chemotherapy
NCT06755684,Non-small cell lung carcinoma,Befotertinib combined Bevacizumab
NCT06755684,Non-small cell lung carcinoma,Befotertinib combined platinum-based double chemotherapy
NCT06641284,Heart failure,spironolactone
NCT06863402,B-cell chronic lymphocytic leukemia,Nemtabrutinib
NCT06863402,B-cell chronic lymphocytic leukemia,pembrolizumab
NCT06863402,Richter syndrome,Nemtabrutinib
NCT06863402,Richter syndrome,pembrolizumab
NCT06945679,Dengue disease,CPLE
NCT06801379,Insomnia,Inhaled Melatonin (100 μg)
NCT06801379,Insomnia,Oral Melatonin (4 mg)
NCT06884384,Antiphospholipid syndrome,Additional blood collection during routine blood sampling at the inclusion (33.9 ml) and at the thrombotic recurrence (between
NCT07024784,Fallopian tube carcinoma,IMGN151
NCT07024784,Fallopian tube carcinoma,carboplatin
NCT07024784,Fallopian tube carcinoma,bevacizumab
NCT07024784,Fallopian tube carcinoma,olaparib
NCT07024784,Primary peritoneal carcinoma,IMGN151
NCT07024784,Primary peritoneal carcinoma,carboplatin
NCT07024784,Primary peritoneal carcinoma,bevacizumab
NCT07024784,Primary peritoneal carcinoma,olaparib
NCT07102979,Cirrhosis of liver,Ursodeoxycholic Acid (URSO)
NCT07102979,Cirrhosis of liver,simvastatin
NCT06745284,Obesity disorder,Survodutide
NCT06745284,Obesity disorder,semaglutide
NCT06862102,Cervical squamous intraepithelial neoplasia,HPV vaccine
NCT06657079,"Familial acute respiratory distress syndrome, ANLN-related, dog",combined standard aerosolized doses of budesonide (0.5 mg/2 mL) every
NCT07091279,Autism,propranolol
NCT06632379,"Hypertension, pregnancy-induced",atorvastatin
NCT06632379,Preeclampsia,atorvastatin
NCT06690684,Heart failure,Hematological indicators
NCT06690684,Heart failure,Serological indicators in patients with myocardial infarction
NCT06690684,Heart failure,Levels of biomarkers in blood of patients with acute myocardial infarction
NCT06690684,Myocardial ischemia,Hematological indicators
NCT06690684,Myocardial ischemia,Serological indicators in patients with myocardial infarction
NCT06690684,Myocardial ischemia,Levels of biomarkers in blood of patients with acute myocardial infarction
NCT06801184,Irritable bowel syndrome,Plasma Sample
NCT06801184,Irritable bowel syndrome,Stool Sample
NCT06676384,IgA glomerulonephritis,Oral prednisolone and SoC
NCT06676384,IgA glomerulonephritis,Gut-directed budesonide and SoC
NCT06676384,IgA glomerulonephritis,Mycophenolate mofetil (MMF) and SoC
NCT06676384,IgA glomerulonephritis,Hydroxychloroquine and SoC
NCT06676384,IgA glomerulonephritis,Non-steroidal mineralocorticoid receptor antagonist and SoC
NCT06676384,IgA glomerulonephritis,SoC defined as maximal labelled or tolerated dose of angiotensin-converting enzyme inhibitor/ angiotensin receptor blocker (ACEi/ARB) & steady dose of sodium-glucose cotransporter-2 inhibitor (SGLT2i)
NCT06676384,Kidney failure,Oral prednisolone and SoC
NCT06676384,Kidney failure,Gut-directed budesonide and SoC
NCT06676384,Kidney failure,Mycophenolate mofetil (MMF) and SoC
NCT06676384,Kidney failure,Hydroxychloroquine and SoC
NCT06676384,Kidney failure,Non-steroidal mineralocorticoid receptor antagonist and SoC
NCT06676384,Kidney failure,SoC defined as maximal labelled or tolerated dose of angiotensin-converting enzyme inhibitor/ angiotensin receptor blocker (ACEi/ARB) & steady dose of sodium-glucose cotransporter-2 inhibitor (SGLT2i)
NCT07076784,Acne,Icariin
NCT06910384,Amyotrophic lateral sclerosis,STR04
NCT06586684,Hyperlipidemia,inclisiran
NCT06706284,Type 2 diabetes mellitus,semaglutide Injectable Product
NCT06959784,Cerebrovascular disorder,semaglutide
NCT06959784,Cerebrovascular disorder,metformin
NCT06959784,Diabetes mellitus,semaglutide
NCT06959784,Diabetes mellitus,metformin
NCT06615050,Graft versus host disease,Tacrolimus (Tac)
NCT06615050,Graft versus host disease,Methotrexate (MTX)
NCT06615050,Graft versus host disease,Ruxolitinib (Rux)
NCT06615050,Graft versus host disease,cyclophosphamide
NCT06615050,Graft versus host disease,Mycophenolate mofetil (MMF)
NCT06565650,Dry eye syndrome,Miebo
NCT06613750,Type 2 diabetes mellitus,Sitagliptin and Gliclazide
NCT06613750,Type 2 diabetes mellitus,metformin
NCT07082114,Type 2 diabetes mellitus,HDM1002
NCT07082114,Type 2 diabetes mellitus,HDM1002
NCT07082114,Type 2 diabetes mellitus,HDM1002
NCT07082114,Type 2 diabetes mellitus,Dapagliflozin (DAPA)
NCT07117214,Carcinoma,[68Ga]Ga-DWJ155
NCT06991114,Acquired idiopathic inflammatory myopathy,Allogeneic NK Cells
NCT06991114,Juvenile dermatomyositis,Allogeneic NK Cells
NCT06991114,Scleroderma,Allogeneic NK Cells
NCT06991114,Sjogren syndrome,Allogeneic NK Cells
NCT06991114,Systemic sclerosis,Allogeneic NK Cells
NCT07058155,Morbid obesity,Anti-Obesity Pharmacotherapy (Class Effect)
NCT06857955,Hypertensive disorder,QCZ484
NCT06873555,Ovarian cancer,DC05F01
NCT06873555,Small cell lung carcinoma,DC05F01
NCT06670755,Tuberculosis,ID93/GLA-SE
NCT06670755,Tuberculosis,BCG Danish
NCT07006714,Osteoarthritis,Vitamin D3
NCT06706414,Infertility disorder,Denosumab (Prolia)
NCT06706414,Infertility disorder,Letrozole (Aromatase Inhibitors)
NCT07047014,Cerebrovascular disorder,Tenecteplase (0.25mg/kg)
NCT07047014,Cerebrovascular disorder,Standard medical treatment
NCT06683014,Borderline personality disorder,MDMA
NCT06844214,Myotonic dystrophy,SAR446268
NCT07029295,Infective endocarditis,Determination of beta-hydroxybutyrate (BHB) in capillary blood
NCT06763055,Intracerebral hemorrhage,colchicine
NCT06763055,Intracerebral hemorrhage,DEFEROXAMINE MESYLATE
NCT06689514,Benign prostatic hyperplasia,alpha receptor antagonist
NCT06689514,Benign prostatic hyperplasia,Low dose Tranilast
NCT06689514,Benign prostatic hyperplasia,High dose Tranilast
NCT06892314,Type 2 diabetes mellitus,Exposure to hyperglycemia (type
NCT06591455,Primary biliary cholangitis,fenofibrate
NCT06591455,Primary biliary cholangitis,UDCA (Ursodeoxycholic acid)
NCT06650514,Osteosarcoma,OMO-103
NCT06933914,Paroxysmal nocturnal hemoglobinuria,MY008211A tablets
NCT07060950,Cancer,Blood sampling C1
NCT06614855,Adult glioblastoma,C134
NCT06614855,Adult glioblastoma,C134
NCT06614855,Glioma susceptibility 1,C134
NCT06614855,Glioma susceptibility 1,C134
NCT06567314,Skin squamous cell carcinoma,Ivonescimab
NCT07076914,Small cell lung carcinoma,Experimental (Health Canada Approved Proton Pump Inhibitors)
NCT06675214,Nasopharyngeal carcinoma,Full course of PD-1/PD-L1 blockades
NCT06675214,Nasopharyngeal carcinoma,Cisplatin-based induction chemotherapy
NCT06675214,Nasopharyngeal carcinoma,Concurrent Chemotherapy
NCT06649214,Schizophrenia,Olanzapine-samidorphan；
NCT06649214,Schizophrenia,olanzapine
NCT07005414,Autism,bumetanide
NCT06799195,Graft versus host disease,Attenuated-dose Cyclophosphamide
NCT06799195,Graft versus host disease,High-dose Cyclophosphamide
NCT06799195,Graft versus host disease,sirolimus
NCT06799195,Graft versus host disease,Mycophenolate Mofetil (MMF)
NCT06790095,Traumatic brain injury,Cyclosporine (CsA)
NCT07052214,Prostate cancer,68Ga-PSMA-11
NCT07052214,Prostate carcinoma,68Ga-PSMA-11
NCT07099014,Cardiogenic shock,Inahled Isoflurane
NCT07099014,Cardiogenic shock,"Propofol, midazolam"
NCT06956495,Insomnia,Tasipimidine
NCT07048314,Erectile dysfunction,Allogeneic adipose-derived mesenchymal stem cells (HB-adMSCs) at the doctor's office
NCT07048314,Erectile dysfunction,Allogeneic adipose-derived mesenchymal stem cells (HB-adMSCs) in the OR
NCT07048314,Prostate cancer,Allogeneic adipose-derived mesenchymal stem cells (HB-adMSCs) at the doctor's office
NCT07048314,Prostate cancer,Allogeneic adipose-derived mesenchymal stem cells (HB-adMSCs) in the OR
NCT06854614,Obesity disorder,Phentermine-Topiramate
NCT06854614,Obesity disorder,Naltrexone-Bupropion Combination
NCT06854614,Obesity disorder,orlistat
NCT06773195,Myelofibrosis,Ulixertinib
NCT06773195,Myelofibrosis,ruxolitinib
NCT06815003,Childhood myelodysplastic syndrome,cyclophosphamide
NCT06815003,Childhood myelodysplastic syndrome,fludarabine
NCT06815003,Childhood myelodysplastic syndrome,melphalan
NCT06815003,Childhood myelodysplastic syndrome,tacrolimus
NCT06815003,Childhood myelodysplastic syndrome,vedolizumab
NCT06815003,Graft versus host disease,cyclophosphamide
NCT06815003,Graft versus host disease,fludarabine
NCT06815003,Graft versus host disease,melphalan
NCT06815003,Graft versus host disease,tacrolimus
NCT06815003,Graft versus host disease,vedolizumab
NCT06815003,Myeloproliferative neoplasm,cyclophosphamide
NCT06815003,Myeloproliferative neoplasm,fludarabine
NCT06815003,Myeloproliferative neoplasm,melphalan
NCT06815003,Myeloproliferative neoplasm,tacrolimus
NCT06815003,Myeloproliferative neoplasm,vedolizumab
NCT07103603,Hepatic steatosis,Menopausal hormone therapy
NCT07103603,Menopause,Menopausal hormone therapy
NCT06731803,Gastroesophageal junction adenocarcinoma,Trastuzumab deruxtecan +
NCT06731803,Gastroesophageal junction adenocarcinoma,Trastuzumab deruxtecan + FLO
NCT06707103,Injury,TR987
